IMDB_ID,Title,Year,Release_Month,Age_Rating,Genre,Directors,Actors,Producers,Writers,Composers,Runtime,Cinematographers,Production_Companies,Country,Language,Average_Rating,Budget,Budget_Normalized,Revenue_Normalized,num_genre,num_directors,num_actors,num_producers,num_writers,num_composers,num_cinematographers,num_production_companies
tt1399103,Transformers: Dark of the Moon,2011.0,6,PG-13,"['Action', 'Science Fiction', 'Adventure']",['Michael Bay'],"['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Peter Cullen', 'Leonard Nimoy', 'John Turturro', 'Frances McDormand', 'Josh Duhamel', 'Tyrese Gibson', 'Patrick Dempsey', 'Hugo Weaving']","['Don Murphy', 'Ian Bryce', 'Lorenzo di Bonaventura', 'Kenny Bates', 'Tom DeSanto']",['Ehren Kruger'],['Steve Jablonsky'],154.0,['Amir Mokri'],"['Paramount Pictures', 'di Bonaventura Pictures', 'DeSanto/Murphy Productions', 'Ian Bryce Productions']","United States, Hong Kong, Cambodia, United Kingdom","English, Russian",5.025,195000000,3.6915035350455616,5.575980748651629,3,1,10,5,1,1,1,4
tt0167260,The Lord of the Rings: The Return of the King,2003.0,2,PG-13,"['Adventure', 'Fantasy', 'Action']",['Peter Jackson'],"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Sean Astin', 'Andy Serkis', 'Dominic Monaghan', 'Billy Boyd', 'John Noble', 'David Wenham', 'Miranda Otto']","['Barrie M. Osborne', 'Peter Jackson', 'Fran Walsh']","['Fran Walsh', 'Peter Jackson', 'Philippa Boyens']",['Howard Shore'],201.0,['Andrew Lesnie'],"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","New Zealand, United States","English, Quenya, Old English, Sindarin",9.075,94000000,1.4555180201533104,5.549354858793719,3,1,10,3,3,1,1,3
tt1074638,Skyfall,2012.0,10,PG-13,"['Action', 'Adventure', 'Thriller']",['Sam Mendes'],"['Daniel Craig', 'Judi Dench', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris', 'Bérénice Marlohe', 'Albert Finney', 'Ben Whishaw', 'Rory Kinnear', 'Ola Rapace']","['Barbara Broccoli', 'Michael G. Wilson']","['Robert Wade', 'Neal Purvis', 'John Logan']",['Thomas Newman'],143.0,['Roger Deakins'],"['Metro-Goldwyn-Mayer', 'EON Productions', 'Columbia Pictures']","United Kingdom, United States, Turkey, China","English, Turkish, Shanghainese, Portuguese, Japanese",8.075,200000000,3.8021958872679504,5.493472554500864,3,1,10,2,3,1,1,3
tt2109248,Transformers: Age of Extinction,2014.0,6,PG-13,"['Science Fiction', 'Action', 'Adventure']",['Michael Bay'],"['Mark Wahlberg', 'Peter Cullen', 'Stanley Tucci', 'Kelsey Grammer', 'Nicola Peltz Beckham', 'Jack Reynor', 'Frank Welker', 'Sophia Myles', 'Li Bingbing', 'Titus Welliver']","['Tom DeSanto', 'Don Murphy', 'Lorenzo di Bonaventura', 'Ian Bryce']",['Ehren Kruger'],['Steve Jablonsky'],165.0,['Amir Mokri'],"['di Bonaventura Pictures', 'DeSanto/Murphy Productions', 'Ian Bryce Productions', 'Paramount Pictures', 'Hasbro']","United States, China, Hong Kong","English, Chinese",4.125,210000000,4.023580591712728,5.468827937867674,3,1,10,4,1,1,1,5
tt1345836,The Dark Knight Rises,2012.0,5,PG-13,"['Action', 'Crime', 'Drama', 'Thriller']",['Christopher Nolan'],"['Christian Bale', 'Gary Oldman', 'Tom Hardy', 'Joseph Gordon-Levitt', 'Anne Hathaway', 'Marion Cotillard', 'Morgan Freeman', 'Michael Caine', 'Matthew Modine', 'Alon Aboutboul']","['Christopher Nolan', 'Emma Thomas', 'Charles Roven']","['Jonathan Nolan', 'Christopher Nolan']",['Hans Zimmer'],164.0,['Wally Pfister'],"['Syncopy', 'Legendary Pictures', 'DC Entertainment', 'Warner Bros. Pictures']","United States, United Kingdom","English, Arabic",8.175,250000000,4.9091194094918364,5.343909816171122,4,1,10,3,2,1,1,4
tt2527338,Star Wars: The Rise of Skywalker,2019.0,2,PG-13,"['Adventure', 'Action', 'Science Fiction']",['J.J. Abrams'],"['Carrie Fisher', 'Mark Hamill', 'Daisy Ridley', 'Adam Driver', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant']","['J.J. Abrams', 'Kathleen Kennedy', 'Michelle Rejwan']","['Chris Terrio', 'J.J. Abrams']",['John Williams'],141.0,['Dan Mindel'],"['Lucasfilm Ltd.', 'Bad Robot']","United States, United Kingdom",English,5.775,416000000,8.58410550327514,5.306471272459533,3,1,10,3,2,1,1,2
tt3748528,Rogue One: A Star Wars Story,2016.0,2,PG-13,"['Action', 'Adventure', 'Science Fiction']",['Gareth Edwards'],"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen', 'Jiang Wen', 'Ben Mendelsohn', 'Guy Henry', 'Forest Whitaker', 'Riz Ahmed', 'Mads Mikkelsen']","['Simon Emanuel', 'Kathleen Kennedy', 'Allison Shearmur', 'Tony To', 'Leifur B. Dagfinnsson']","['Chris Weitz', 'Tony Gilroy']",['Michael Giacchino'],133.0,['Greig Fraser'],['Lucasfilm Ltd.'],United States,English,7.55,200000000,3.8021958872679504,5.208291458752826,3,1,10,5,2,1,1,1
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011.0,8,PG-13,"['Adventure', 'Action', 'Fantasy']",['Rob Marshall'],"['Johnny Depp', 'Penélope Cruz', 'Geoffrey Rush', 'Ian McShane', 'Kevin McNally', 'Sam Claflin', 'Astrid Bergès-Frisbey', 'Stephen Graham', 'Keith Richards', 'Richard Griffiths']",['Jerry Bruckheimer'],"['Terry Rossio', 'Ted Elliott']",['Hans Zimmer'],136.0,['Dariusz Wolski'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company']","United States, United Kingdom","English, Spanish",5.225,379000000,7.764982096829464,5.157613695996781,3,1,10,1,2,1,1,3
tt3469046,Despicable Me 3,2017.0,6,PG,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']","['Kyle Balda', 'Pierre Coffin']","['Steve Carell', 'Kristen Wiig', 'Trey Parker', 'Miranda Cosgrove', 'Dana Gaier', 'Nhev Scharrel', 'Pierre Coffin', 'Steve Coogan', 'Julie Andrews', 'Jenny Slate']","['Janet Healy', 'Chris Meledandri']","['Ken Daurio', 'Cinco Paul']",['Heitor Pereira'],89.0,[],"['Illumination', 'Universal Pictures']","United States, France",English,5.9,80000000,1.1455794339306222,5.092903327708412,5,2,10,2,2,1,0,2
tt0903624,The Hobbit: An Unexpected Journey,2012.0,2,PG-13,"['Adventure', 'Fantasy', 'Action']",['Peter Jackson'],"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'James Nesbitt', 'Ken Stott', 'Sylvester McCoy', 'Barry Humphries', ""Dean O'Gorman"", 'Aidan Turner', 'Graham McTavish']","['Carolynne Cunningham', 'Peter Jackson', 'Fran Walsh', 'Zane Weiner']","['Fran Walsh', 'Philippa Boyens', 'Peter Jackson', 'Guillermo del Toro']",['Howard Shore'],169.0,['Andrew Lesnie'],"['New Line Cinema', 'Metro-Goldwyn-Mayer', 'WingNut Films']","New Zealand, United States",English,6.85,250000000,4.9091194094918364,5.018555571725878,3,1,10,4,4,1,1,3
